Familia,Nombre científico,Nombres comunes,1993¹,2001²,2002³,2003º,2006•,"AMENAZA A NIVEL NACIONAL"" (Libros Rojos de especies amenazadas 2002-2007)",AMENAZA A NIVEL NACIONAL (Resolución 383 de 2010-Derogada por la Res. 192 de 2014),AMENAZA A NIVEL NACIONAL (Resolución 192 de 2014),Año
ZAMIACEAE,Zamia amplifolia*,Zamia de Anchicayá,,,,,,,,,
ZAMIACEAE,Zamia chigua*,Zamia chigua,,,,,,,,,
ZAMIACEAE,Zamia roezlii*,Zamia de los manglares,,,,,,,,,
SAPOTACEAE,Pradosia cuatrecasasii (Aublet) T. D. Penns,,,,,,,,,,
CAPPARIDACEAE,Capparis dentosa Tr. & Pl.,,,,,,,,,,
CAPPARIDACEAE,Capparis macrophylla,,,,,,,,,,
CAPPARACEAE,Crateva tapia L.,,,,,,,,,,
CAPPARACEAE,Capparis amplissima Lam.,,,,,,,,,,
EUPHORBIACEAE,García nutans Rohr,Madroño,,,,,,,,,
MELASTOMATACEAE,Meriana peltata L. Uribe,,,,,,,,,,
CLUSIACEAE,Garcinia madrunno (Kunth) Hammel,,,,,,,,,,
